Randy Choate,Los Angeles,,,,,,
Miami,,,,,,,
2013,Joel Peralta,80,Tampa Bay,2013,Brad Ziegler,78,Arizona
2014,Bryan Shaw,80,Cleveland,2014,Will Smith,78,Milwaukee
Tony Watson,Pittsburgh,,,,,,
2015,Kevin Jepsen,75,Minnesota,2015,Kevin Siegrist,81,St. Louis
Tampa Bay,,,,,,,
2016,Bryan Shaw,75,Cleveland,2016,Brad Hand,82,San Diego
2017,Peter Moylan,79,Kansas City,2017,Corey Knebel,76,Milwaukee
Bryan Shaw,Cleveland,Juan Nicasio,Philadelphia,,,,
Pittsburgh,,,,,,,
St. Louis,,,,,,,
2018,Ryan Pressly,77,Houston,2018,Brad Ziegler,82,Arizona
Minnesota,Miami,,,,,,
2019,Yusmeiro Petit,80,Oakland,2019,Alex Claudio,83,Milwaukee
2020,Scott Barlow,32,Kansas City,2020,Tyler Rogers,29,San Francisco
2021,Bryan Shaw,81,Cleveland,2021,Tyler Rogers,80,San Francisco
2022,Adam Cimber,77,Toronto,2022,John Brebbia,76,San Francisco
Emmanuel Clase,Cleveland,,,,,,
2023,Matt Brash,78,Seattle,2023,Miguel Castro,75,Arizona
2024,T.J. McFarland,79,Oakland,2024,Tyler Rogers,77,San Francisco
2025,Greg Weissert,36,Boston,2025,Jason Adam,36,San Diego
Tyler Rogers,San Francisco,,,,,,
Tanner Scott,Los Angeles,,,,,,
Year,American League,Games,Team(s),Year,National League,Games,Team(s)
Current Through End of 2025 Regular Season,,,,,,,
