year,league,player,games,team
2001,NL,Steve Kline,89,St. Louis
2002,NL,Paul Quantrill,86,Los Angeles
2003,NL,Paul Quantrill,89,Los Angeles
2004,NL,Jim Brower,89,San Francisco
2005,NL,Scott Eyre,86,San Francisco
2006,NL,Salomon Torres,94,Pittsburgh
2007,NL,Jon Rauch,88,Washington
2008,NL,Pedro Feliciano,86,New York
2009,NL,Pedro Feliciano,88,New York
2010,NL,Pedro Feliciano,92,New York
2011,NL,Jonny Venters,85,Atlanta
2012,NL,Matt Belisle,80,Colorado
2013,NL,Brad Ziegler,78,Arizona
2014,NL,Will Smith,78,Milwaukee
2015,NL,Kevin Siegrist,81,St. Louis
2016,NL,Brad Hand,82,San Diego
2017,NL,Corey Knebel,76,Milwaukee
2018,NL,Brad Ziegler,82,Arizona
2019,NL,Alex Claudio,83,Milwaukee
2020,NL,Tyler Rogers,29,San Francisco
2021,NL,Tyler Rogers,80,San Francisco
2022,NL,John Brebbia,76,San Francisco
2023,NL,Miguel Castro,75,Arizona
2024,NL,Tyler Rogers,77,San Francisco
2025,NL,Jason Adam,35,San Diego
